AOI,Reflectivity,Relative PDE,Transmittance
0,0.3,1.0,0.7
15,0.281,0.961,0.691
35,0.276,0.886,0.641
45,0.258,0.832,0.618
55,0.249,0.758,0.569
60,0.231,0.727,0.559
65,0.214,0.648,0.509
90,0.0,0.0,0.0
